row_id,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,pct_civilian_labor,pct_unemployment,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,gross_rent
21,7816,970,25.596,5,23.751,0.943271518,0.006121779,0.029872289,0.004867561,0.000497706,0.002717472,0.012651676,0,6.413,0.546,0.046,0.229,0.128,0.077,0,0.2,0.289,0.487,0.166,0.231,0.058467742,0.360887097,0.317540323,0.263104839,691
22,10111,920,21.095,3,28.268,0.908087129,0.004633251,0.041007281,0.023878292,0.005916922,0,0.016477125,0,7.714,0.544,0.042,0.251,0.296,0.094,0.05,0.245,0.211,0.49,0.23,0.194,0.095477387,0.366834171,0.374874372,0.16281407,578
23,2318272,465328,56.318,0,33.998,0.263295798,0.174250455,0.279476769,0.002200132,0.239974398,0.000400024,0.021621297,0.018781127,12.271,0.494,0.064,0.228,0.132,0.093,0.08,0.146,0.277,0.513,0.207,0.131,0.196803197,0.272727273,0.227772228,0.302697303,1367
24,13429,1034,18.362,10,32.843,0.557809351,0.430676671,0.003591882,9.98E-05,0,0,0.007722547,9.98E-05,16.789,0.338,0.09,0.391,0.201,0.174,0.119,0,0.378,0.521,0.219,0.195,0.235235235,0.37037037,0.277277277,0.117117117,497
25,537958,76931,33.949,3192,29.999,0.787563169,0.140931519,0.018353826,0.001880148,0.025357129,0.000198957,0.024531455,0.001183797,10.724,0.497,0.059,0.291,0.188,0.105,0.09,0.182,0.248,0.521,0.22,0.154,0.090270812,0.321965898,0.283851555,0.303911735,744
26,37203,3480,29.053,0,26.682,0.515341057,0.01951768,0.317654264,0.130308628,0.006405494,0.001305195,0.009066083,0.000401598,16.388,0.377,0.073,0.338,0.163,0.108,0.08,0.139,0.261,0.467,0.279,0.119,0.152542373,0.328015952,0.3888335,0.130608175,729
27,4203,504,27.531,0,24.138,0.85524615,0,0.020992615,0.095353568,0,0,0.024780304,0.003627364,14.665,0.48,0.054,0.264,0.16,0.084,0,0.184,0.321,0.51,0.214,0.21,0.088088088,0.374374374,0.345345345,0.192192192,490
28,39788,5457,37.846,0,35.006,0.546907783,0.370486562,0.045009491,0.00168848,0.01417724,0.002817464,0.017414327,0.001498651,15.114,0.433,0.081,0.325,0.347,0.124,0.101,0.152,0.296,0.511,0.225,0.144,0.161838162,0.300699301,0.344655345,0.192807193,861
29,9472,869,22.716,3,33.62,0.959305502,0.001698501,0.015693753,0.001390586,0,0,0.021911658,0,20.485,0.389,0.089,0.293,0,0.119,0.07,0,0.321,0.493,0.197,0.251,0.166666667,0.439759036,0.265060241,0.128514056,523
30,14543,1961,31.362,0,29.772,0.53148333,0.017298862,0.420243562,0.010371332,0.00682771,0.000499102,0.011379517,0.001896586,8.455,0.459,0.074,0.243,0.3,0.075,0.109,0.156,0.217,0.486,0.201,0.194,0.157370518,0.282868526,0.389442231,0.170318725,755
31,10591,999,26.133,1,21.008,0.539934915,0.016090476,0.432574677,0.001004399,0.001406159,0.002410558,0.006578815,0,9.762,0.53,0.03,0.341,0.169,0.08,0.05,0.181,0.293,0.482,0.299,0.131,0.281124498,0.332329317,0.253012048,0.133534137,596
32,1043,125,25.425,-1,17.492,0.971436279,0,0.005724733,0.020920753,0,0,0.001918235,0,7.59,0.578,0.027,0.241,0.199,0.079,0,0,0.292,0.499,0.239,0.216,0.078763709,0.444666002,0.328015952,0.148554337,497
33,167030,15268,26.631,1469,28.706,0.682910315,0.234981928,0.049866075,0.000796583,0.013253144,9.96E-05,0.016698364,0.00139402,6.925,0.476,0.054,0.327,0.234,0.109,0.081,0.119,0.302,0.509,0.273,0.109,0.112449799,0.299196787,0.365461847,0.222891566,958
34,29589,3878,34.542,0,29.974,0.863403334,0.069114166,0.030669285,0.000402881,0.008118044,0,0.027788689,0.000503601,11.562,0.417,0.07,0.305,0.211,0.123,0.091,0,0.285,0.516,0.211,0.171,0.143426295,0.349601594,0.280876494,0.226095618,637
35,3302,276,46.884,0,22.064,0.149207997,0.091357335,0.121380591,0.291099821,0.304264939,0.011079061,0.031610257,0,12.714,0.678,0.045,0.322,0.383,0.078,0,0.396,0.312,0.324,0.102,0.063,0.185,0.391,0.284,0.14,930
36,60011,7302,30.503,151,28.536,0.959407204,0.00865076,0.014182065,0.002690905,0.005630967,0,0.008740457,0.000697642,18.997,0.403,0.076,0.326,0.296,0.118,0.08,0.093,0.331,0.507,0.239,0.138,0.239800995,0.378109453,0.260696517,0.121393035,579
37,6179,593,21.55,1,21.684,0.917265936,0.003979613,0.064671208,0.003480915,0.002573284,0,0.008029044,0,5.383,0.56,0.033,0.296,0,0.087,0.04,0,0.278,0.493,0.225,0.206,0.142284569,0.373747495,0.308617234,0.175350701,550
38,7940,1028,34.115,0,26.498,0.537051038,0.408917249,0.028215441,0.000403222,0.022610659,0,0.002802391,0,10.757,0.37,0.093,0.331,0,0.137,0.15,0,0.361,0.51,0.234,0.192,0.169338677,0.503006012,0.195390782,0.132264529,521
39,21758,2017,23.901,-1,29.654,0.863018733,0.08737758,0.022537198,0.002969864,0.004390234,0,0.018107233,0.001599158,11.656,0.412,0.085,0.286,0,0.094,0.09,0,0.272,0.455,0.201,0.163,0.140298507,0.383084577,0.342288557,0.134328358,479
40,20981,2437,29.936,63,32.96,0.436677254,0.526178063,0.021613631,0,0.005203652,0,0.009927888,0.000399513,20.612,0.37,0.081,0.344,0.263,0.148,0.119,0,0.276,0.493,0.23,0.147,0.221556886,0.413173653,0.235528942,0.129740519,558
41,725489,97063,35.276,2268,28.412,0.619151513,0.087420811,0.190063952,0.002822286,0.072388635,0.000710576,0.025340526,0.002101702,5.893,0.549,0.044,0.297,0.101,0.084,0.07,0.134,0.214,0.512,0.272,0.078,0.081570997,0.194360524,0.312185297,0.411883182,991
42,16633,1716,30.057,0,37.132,0.46251221,0.499850487,0.013575743,0.003488627,0.000299025,0.000299025,0.019974882,0,21.64,0.388,0.074,0.358,0.224,0.15,0.14,0.12,0.34,0.444,0.187,0.17,0.236526946,0.409181637,0.226546906,0.127744511,617
43,6300,829,27.182,1,24.212,0.962002196,0.003673021,0.018754367,0.005888811,0.006976744,0,0.002704861,0,5.291,0.616,0.033,0.29,0.141,0.108,0.069,0.125,0.28,0.494,0.216,0.218,0.049850449,0.337986042,0.353938185,0.258225324,531
44,37621,6097,52.671,9,44.984,0.897300723,0.006670221,0.066772639,0.000100607,0.011167339,0.002495045,0.015292212,0.000201213,28.582,0.499,0.032,0.26,0.031,0.059,0.05,0.032,0.212,0.512,0.265,0.058,0.046138415,0.159478435,0.447342026,0.347041123,641
45,325767,58865,47.201,3815,30.294,0.453680541,0.354119574,0.107025528,0.013341772,0.023749962,0.002310699,0.042557039,0.003214885,14.322,0.39,0.081,0.336,0.222,0.121,0.1,0.113,0.305,0.512,0.262,0.101,0.099700897,0.261216351,0.404785643,0.234297109,869
46,7306,1135,39.341,0,29.593,0.334105131,0.621762692,0.012385353,0,0.020958293,0,0.010788531,0,25.103,0.375,0.097,0.368,0,0.161,0.161,0,0.35,0.535,0.22,0.197,0.269192423,0.353938185,0.229312064,0.147557328,592
47,98922,20310,46.317,1723,28.886,0.606657262,0.275855169,0.058858841,0.000800392,0.024622065,0.001210593,0.029814609,0.002181069,16.137,0.501,0.059,0.353,0.264,0.108,0.109,0.13,0.255,0.522,0.22,0.144,0.155310621,0.304609218,0.303607214,0.236472946,728
48,15803,1726,21.925,6,30.452,0.977550217,0.00151483,0.006816736,0.000403955,0.00570586,0,0.008008402,0,18.026,0.332,0.097,0.369,0.337,0.146,0.15,0,0.344,0.505,0.233,0.147,0.22754491,0.414171657,0.240518962,0.117764471,519
49,212219,38403,42.72,1474,31.974,0.767725672,0.142225512,0.053917254,0.003831226,0.013554337,0.000400128,0.016935419,0.001410451,11.493,0.514,0.059,0.257,0.181,0.105,0.091,0.182,0.211,0.515,0.197,0.148,0.081918082,0.221778222,0.324675325,0.371628372,907
50,11143,1188,24.243,0,26.851,0.87710426,0.031368528,0.065693721,0.00150322,0.004977551,0,0.018665817,0.000686902,15.958,0.375,0.075,0.336,0.205,0.124,0.079,0,0.281,0.499,0.241,0.176,0.184738956,0.355421687,0.313253012,0.146586345,489
51,18303,1725,22.479,0,33.359,0.884327431,0.026129234,0.06299651,0.003201527,0.012766338,0,0.009982402,0.000596558,11.382,0.445,0.066,0.279,0.276,0.108,0.1,0,0.272,0.49,0.242,0.143,0.219438878,0.452905812,0.215430862,0.112224449,713
52,38010,3951,26.855,297,31.8,0.56526424,0.378106574,0.029781205,0.007712185,0.000399078,0.010266285,0.008071355,0.000399078,17.608,0.442,0.076,0.367,0.242,0.161,0.109,0.105,0.315,0.519,0.237,0.173,0.178642715,0.378243513,0.30239521,0.140718563,705
53,133938,17828,30.213,12,31.055,0.882406747,0.022987928,0.068139556,0.004613668,0.006764703,0.000603094,0.013891262,0.000593042,13.743,0.439,0.068,0.277,0.235,0.097,0.08,0.204,0.255,0.506,0.212,0.172,0.118118118,0.354354354,0.317317317,0.21021021,612
54,37636,2835,16.39,44,26.544,0.955568984,0.001981316,0.016326045,0.009431065,0.004388615,0,0.012303974,0,6.479,0.544,0.063,0.296,0.183,0.083,0.06,0.275,0.234,0.49,0.215,0.172,0.097097097,0.435435435,0.312312312,0.155155155,606
55,5114,576,35.694,0,25.538,0.710549163,0.239164929,0.043998922,0,0.001586715,0,0.00470027,0,18.495,0.427,0.076,0.291,0,0.129,0.08,0,0.277,0.517,0.281,0.144,0.227683049,0.344032096,0.280842528,0.147442327,659
56,17090,1792,25.091,10,25.069,0.688960289,0.00966916,0.271961444,0.008695216,0.003122647,0.00181736,0.015573071,0.000200813,13.942,0.513,0.041,0.291,0.129,0.081,0.06,0.161,0.311,0.493,0.265,0.164,0.225324028,0.356929212,0.284147557,0.133599202,541
57,11143,1230,30.033,14,24.1,0.620595665,0.00436315,0.339377178,0.005481394,0.00376409,0.00110826,0.025310263,0,12.684,0.49,0.069,0.258,0.235,0.092,0.06,0.164,0.255,0.49,0.282,0.137,0.242757243,0.352647353,0.2997003,0.104895105,663
58,10226,998,23.336,2,23.661,0.93483191,0.002008092,0.032419202,0.000909136,0.024586643,0,0.005245017,0,8.82,0.615,0.042,0.3,0.121,0.082,0.08,0,0.231,0.493,0.223,0.2,0.087437186,0.346733668,0.375879397,0.189949749,540
59,98381,8731,23.242,611,31.057,0.872228956,0.022599096,0.076642592,0.003916776,0.002895008,0.000701213,0.020916185,0.000100173,9.536,0.485,0.064,0.325,0.169,0.116,0.071,0.207,0.24,0.496,0.225,0.159,0.100899101,0.365634366,0.33966034,0.193806194,731
60,35036,3917,25.528,94,26.14,0.909961609,0.029962809,0.03350196,0.000199952,0.005078781,0,0.019885228,0.001409662,11.207,0.507,0.059,0.353,0.206,0.095,0.081,0.262,0.287,0.492,0.216,0.179,0.086,0.416,0.342,0.156,577
61,18240,1793,29.867,-1,23.228,0.169794981,0.039251621,0.780138559,0,0.004531357,0,0.003947315,0.002336166,18.561,0.556,0.036,0.294,0,0.089,0.091,0,0.272,0.418,0.244,0.113,0.343283582,0.338308458,0.23880597,0.07960199,675
62,313101,48854,38.165,0,34.776,0.785634455,0.008332335,0.136011655,0.002115515,0.042709456,0.000498942,0.023709735,0.000987906,6.385,0.566,0.041,0.148,0.115,0.047,0.081,0.154,0.107,0.5,0.206,0.111,0.058823529,0.12662014,0.226321037,0.588235294,1187
63,37602,3934,24.021,92,28.685,0.850067379,0.034182103,0.104467105,0.002695147,0.000603391,0,0.007984875,0,15.422,0.464,0.056,0.294,0.253,0.1,0.101,0,0.283,0.504,0.223,0.172,0.225,0.344,0.312,0.119,591
64,8232,1073,28.168,0,25.729,0.564983051,0.171894843,0.243912683,0.002919912,0,0,0.014369569,0.001919942,24.379,0.441,0.076,0.31,0,0.11,0.07,0,0.298,0.497,0.295,0.113,0.303607214,0.392785571,0.226452906,0.077154309,460
65,3213,403,26.003,0,16.022,0.935263642,0.001201814,0.044154034,0.011836351,0,0,0.007544159,0,3.359,0.586,0.018,0.317,0.11,0.094,0,0.205,0.305,0.489,0.217,0.208,0.103517588,0.299497487,0.376884422,0.220100503,582
66,23452,3372,37.886,0,28.825,0.943569932,0.016942924,0.011431012,0.002800648,0.004657815,0,0.015989512,0.004608158,17.547,0.433,0.07,0.339,0.252,0.108,0.079,0.098,0.291,0.512,0.193,0.131,0.177822178,0.311688312,0.240759241,0.26973027,620
67,50397,5041,26.732,87,28.318,0.723311242,0.02397397,0.067161051,0.101674784,0.004191951,0.00118772,0.078299665,0.000199617,17.256,0.383,0.069,0.332,0.247,0.128,0.07,0.095,0.367,0.494,0.241,0.16,0.185929648,0.396984925,0.277386935,0.139698492,570
68,5741,592,24.26,5,20.196,0.948549934,0.007542942,0.035803964,0.00141055,0.000200078,0,0.006492532,0,7.718,0.576,0.024,0.294,0.133,0.092,0.07,0.237,0.314,0.506,0.225,0.23,0.070929071,0.391608392,0.351648352,0.185814186,578
69,66816,6730,22.767,95,29.286,0.716082275,0.118989154,0.125351679,0.003449681,0.01368937,0.000785374,0.018053664,0.003598803,9.117,0.466,0.049,0.255,0.205,0.098,0.081,0.172,0.213,0.516,0.209,0.216,0.134134134,0.231231231,0.267267267,0.367367367,818
70,4371311,688268,44.981,29251,29.758,0.317401046,0.183370675,0.416111526,0.001792382,0.065362211,0.000597461,0.013164053,0.002200647,14.866,0.504,0.05,0.282,0.157,0.079,0.091,0.166,0.224,0.502,0.275,0.087,0.205588822,0.231536926,0.269461078,0.293413174,906
71,16867,1412,17.882,15,23.583,0.76883505,0.075019304,0.138757132,0.004302003,0.0036201,0,0.008774481,0.00069193,10.074,0.433,0.053,0.292,0.214,0.132,0.079,0,0.347,0.506,0.227,0.221,0.161033797,0.362823062,0.30417495,0.171968191,621
72,7566,665,21.644,3,27.702,0.954289683,0.009683621,0.025698841,0.000402645,0.001610582,0,0.008314627,0,10.211,0.556,0.046,0.299,0.171,0.096,0.04,0,0.267,0.507,0.223,0.191,0.074222668,0.370110331,0.40220662,0.153460381,523
73,16593,1042,18.153,2,28.87,0.457955599,0.529715138,0.006023611,0.000100729,0.000100729,0,0.006104194,0,20.775,0.388,0.086,0.402,0.136,0.165,0.131,0.06,0.338,0.513,0.237,0.174,0.21021021,0.361361361,0.294294294,0.134134134,708
74,34681,3281,25.39,77,35.926,0.671497633,0.307903475,0.011162359,0.000100925,0.005904141,0,0.003431467,0,22.511,0.398,0.066,0.369,0.222,0.139,0.12,0.08,0.344,0.522,0.255,0.148,0.157527418,0.355932203,0.334995015,0.151545364,638
75,18895,2824,27.891,35,30.305,0.843737491,0.006484669,0.082719558,0.017892883,0.009386758,0.008826355,0.030952286,0,8.22,0.436,0.114,0.232,0.143,0.094,0.061,0.185,0.176,0.494,0.173,0.227,0.095522388,0.23681592,0.448756219,0.218905473,836
76,21577,2221,27.757,5,26.06,0.625724913,0.038975323,0.253609567,0.002289725,0.057233132,0.000199976,0.015428149,0.006539215,11.25,0.513,0.034,0.277,0.095,0.084,0.06,0.094,0.262,0.484,0.262,0.16,0.209580838,0.341317365,0.311377246,0.137724551,627
77,23889,1118,11.224,1,28.466,0.89940858,0.005304801,0.061609623,0.004066015,0.004695399,0.000299706,0.023716758,0.000899119,4.557,0.538,0.043,0.202,0.152,0.051,0.1,0.164,0.195,0.501,0.232,0.123,0.041,0.271,0.384,0.304,1083
78,16927,1699,22.231,0,33.343,0.940958968,0.003458345,0.019364741,0.008202358,0.00602968,0.000597985,0.021188594,0.000199328,17.028,0.349,0.085,0.306,0.312,0.12,0.08,0.071,0.309,0.51,0.211,0.25,0.168,0.456,0.277,0.099,578
79,45763,5468,32.077,0,28.862,0.783243001,0.065745115,0.114574114,0.000895033,0.007130426,0,0.028113967,0.000298344,13.047,0.419,0.075,0.362,0.252,0.123,0.09,0,0.333,0.508,0.265,0.139,0.208416834,0.413827655,0.240480962,0.137274549,675
80,263369,26736,36.963,0,34.447,0.036562363,0.002779653,0.95319263,0.00059564,0.005777707,9.93E-05,0.000694913,0.00029782,27.526,0.419,0.051,0.306,0.167,0.088,0.071,0.186,0.275,0.513,0.348,0.081,0.347263682,0.24278607,0.23880597,0.171144279,758
81,78238,9088,27.105,407,26.775,0.87288449,0.082631079,0.014265007,0.003268856,0.010566302,0.000899685,0.01188584,0.00359874,13.643,0.398,0.072,0.334,0.23,0.12,0.101,0.059,0.374,0.496,0.209,0.169,0.172654691,0.397205589,0.246506986,0.183632735,641
82,1014148,125464,34.065,0,30.436,0.465958518,0.171465969,0.182964156,0.00151027,0.144260975,0.000302054,0.029742247,0.003795812,4.578,0.53,0.044,0.183,0.078,0.07,0.08,0.141,0.173,0.521,0.233,0.128,0.087349398,0.139558233,0.1937751,0.579317269,1627
83,39408,5105,31.583,63,28.198,0.842505855,0.111429762,0.020878816,0.003473187,0.003969357,0,0.017246854,0.00049617,14.767,0.515,0.064,0.325,0.242,0.104,0.09,0.138,0.348,0.522,0.246,0.158,0.184262948,0.421314741,0.262948207,0.131474104,583
84,4763,518,21.716,0,22.497,0.967279081,0.001497753,0.014178732,0.000798802,0.005811283,0,0.010434348,0,6.653,0.543,0.031,0.296,0.175,0.113,0.06,0.193,0.296,0.512,0.194,0.271,0.072072072,0.352352352,0.376376376,0.199199199,474
85,27338,3812,40.925,0,31.918,0.511493274,0.418124818,0.055518274,0.002914634,0.003124969,0,0.006430224,0.002393806,24.477,0.415,0.082,0.317,0.246,0.13,0.109,0.129,0.3,0.511,0.254,0.147,0.201807229,0.347389558,0.293172691,0.157630522,633
86,42864,6179,34.91,169,29.618,0.895319352,0.05488102,0.017183258,0.004604079,0.005568649,0,0.022443642,0,15.953,0.451,0.071,0.326,0.343,0.106,0.099,0.112,0.322,0.522,0.234,0.172,0.188376754,0.366733467,0.298597194,0.146292585,632
87,16374,1669,21.678,8,23.618,0.952691876,0.004466432,0.022672649,0.000400577,0.000701009,0.000801154,0.018266303,0,9.873,0.491,0.065,0.303,0,0.095,0.091,0,0.286,0.506,0.222,0.174,0.075848303,0.388223553,0.345309381,0.190618762,577
88,68186,7761,28.38,206,28.052,0.93361096,0.020671133,0.027330155,0.001297604,0.005140121,0.000201179,0.011748848,0,15.883,0.445,0.08,0.352,0.288,0.134,0.09,0.033,0.388,0.508,0.21,0.186,0.189431705,0.42671984,0.234297109,0.149551346,558
89,33508,2486,17.884,0,27.055,0.965797177,0.003420282,0.015592463,0.000402386,0.006287284,0,0.008500407,0,3.464,0.532,0.053,0.291,0,0.094,0.07,0.275,0.269,0.506,0.236,0.148,0.059760956,0.337649402,0.328685259,0.273904382,830
90,36299,4926,32.351,0,24.902,0.464875125,0.09956044,0.394435564,0.003836164,0.020989011,0.001978022,0.014325674,0,17.999,0.458,0.079,0.299,0.245,0.113,0.09,0,0.285,0.497,0.253,0.152,0.22745491,0.352705411,0.265531062,0.154308617,658
91,320196,46938,37.466,3193,29.079,0.550879793,0.29412236,0.05306801,0.002804122,0.07393869,0.000600883,0.022573183,0.002012959,8.064,0.552,0.051,0.278,0.168,0.095,0.09,0.184,0.237,0.524,0.237,0.13,0.093812375,0.22754491,0.268463074,0.410179641,1035
92,7353,673,18.361,1,19.348,0.938618308,0.046096684,0.004440506,0.002225288,0,0,0.008619214,0,6.761,0.476,0.066,0.289,0,0.096,0.07,0,0.299,0.472,0.202,0.183,0.124623116,0.390954774,0.325628141,0.15879397,523
93,9391,791,21.192,4,29.315,0.288227955,0.706192924,0.000898248,0,0,0,0,0.004680872,26.463,0.311,0.115,0.42,0.227,0.174,0.162,0.131,0.384,0.469,0.223,0.144,0.292,0.36,0.202,0.146,513
94,3050,321,22.585,0,16.355,0.945343966,0.013865394,0.019604882,0.013180683,0,0,0.008005075,0,4.408,0.5,0.038,0.306,0.177,0.105,0,0.233,0.31,0.49,0.183,0.274,0.093,0.309,0.405,0.193,467
95,17354,1501,19.823,2,25.451,0.974580645,0.002163772,0.0111067,0,0.002947891,0,0.009200993,0,6.454,0.612,0.038,0.347,0.205,0.084,0.06,0.219,0.326,0.496,0.242,0.172,0.101405622,0.441767068,0.309236948,0.147590361,602
96,163183,22296,34.356,0,27.803,0.891044641,0.045103339,0.029459343,0.001617651,0.012237885,0.000301426,0.019130487,0.001105228,11.736,0.513,0.055,0.314,0.267,0.106,0.079,0.197,0.264,0.504,0.249,0.117,0.108651911,0.294768612,0.307847082,0.288732394,747
97,114028,19016,49.009,0,33.128,0.549596754,0.35495667,0.053609177,0.000701297,0.017302009,0.000200371,0.021149126,0.002484597,18.749,0.443,0.073,0.314,0.248,0.11,0.11,0.14,0.273,0.508,0.239,0.102,0.163654618,0.28313253,0.319277108,0.233935743,758
98,2744,286,17.787,0,22.095,0.958078036,0.003313043,0.009140804,0.005079333,0.00511925,0,0.019269534,0,7.393,0.456,0.03,0.303,0.185,0.101,0,0.202,0.379,0.508,0.185,0.332,0.203423968,0.315206445,0.295065458,0.186304129,558
99,21115,2550,26.41,18,32.762,0.678005555,0.29359228,0.020779636,0.00049951,0.002707347,0,0.004415673,0,16.549,0.427,0.079,0.319,0.257,0.123,0.129,0,0.271,0.516,0.241,0.155,0.253731343,0.410945274,0.24278607,0.092537313,627
